Player,Nationality,Position,Club,Age,Born,90s,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (LiveBall),Take-ons attempted,Take-ons completed,successful takeon (%),Times tackled during takeon,Times tackled during takeon (%),Carries,Total carrying distance,Progressive carrying distance,Progressive carries,Carries into final third,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive passes received
Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,6.9,588,10,148,273,172,15,588,9,5,55.6,4,44.4,307,1224,584,11,7,0,11,2,355,33
Sotiris Alexandropoulos, GRE,MF,Sporting CP,20,2001,1.3,58,5,16,32,10,0,58,1,0,0.0,1,100.0,38,182,40,0,0,0,4,2,39,0
Faride Alidou, GER,"DF,FW",Eint Frankfurt,21,2001,0.8,54,0,3,25,27,3,54,6,2,33.3,3,50.0,31,212,81,4,1,0,2,2,30,6
Alisson, BRA,GK,Liverpool,29,1992,8.0,284,219,282,2,0,0,284,1,1,100.0,0,0.0,170,822,497,0,0,0,0,0,178,0
Marcos Alonso, ESP,DF,Barcelona,31,1990,4.5,468,37,148,247,75,7,468,4,2,50.0,2,50.0,310,1743,968,8,9,0,3,2,325,12
Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,0.6,32,4,16,10,6,1,32,2,1,50.0,1,50.0,15,72,22,0,0,0,0,2,11,0
Edson Álvarez, MEX,MF,Ajax,24,1997,5.9,450,35,149,253,50,17,450,3,1,33.3,2,66.7,266,1125,518,4,5,1,6,3,307,4
Julián Álvarez, ARG,FW,Manchester City,22,2000,5.3,166,1,11,49,106,25,166,10,3,30.0,7,70.0,112,430,170,7,5,5,7,6,134,36
Nadiem Amiri, GER,"MF,FW",Leverkusen,25,1996,1.4,90,2,27,44,20,2,90,3,1,33.3,2,66.7,44,215,103,2,5,1,5,1,63,7
Robert Andrich, GER,MF,Leverkusen,27,1994,4.5,257,17,83,150,24,3,257,0,0,,0,,95,485,227,3,1,0,0,0,153,1
Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,0.3,6,1,4,1,1,0,6,0,0,,0,,3,13,3,0,0,0,0,0,4,1
Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,0.2,17,3,9,4,4,0,17,0,0,,0,,10,33,13,0,1,1,0,0,9,0
Charles Aránguiz, CHI,MF,Leverkusen,33,1989,2.4,169,6,42,100,29,1,169,0,0,,0,,72,301,137,0,3,0,0,0,125,0
Henrique Araújo, POR,FW,Benfica,20,2002,0.1,9,0,0,2,7,3,9,0,0,,0,,6,27,19,0,1,0,0,0,8,5
