Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdYellow,CrdRed,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Rafael Borré, COL,FW,Eint Frankfurt,26,1995,8,1,228,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.8,1.2,3,3,10,0.0,0.0,0.0,0.0,0.0,0.18,0.3,0.48,0.18,0.48
Yassine Bounou, MAR,GK,Sevilla,31,1991,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dedryck Boyata, BEL,DF,Club Brugge,31,1990,3,1,136,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Brandt, GER,"MF,FW",Dortmund,26,1996,7,6,476,5.3,1,1,2,1,0,0,0,0,0.8,0.8,1.0,1.8,19,29,28,0.19,0.19,0.38,0.19,0.38,0.16,0.19,0.35,0.16,0.35
Gleison Bremer, BRA,DF,Juventus,25,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,0,3,2,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13
Brian Brobbey, NED,FW,Ajax,20,2002,5,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45
Armando Broja, ALB,FW,Chelsea,20,2001,5,0,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,2,11,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14
Marcelo Brozović, CRO,MF,Inter,29,1992,9,5,549,6.1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,9,37,11,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07
Pavel Bucha, CZE,MF,Viktoria Plzeň,24,1998,5,4,364,4.0,0,0,0,0,0,0,0,1,0.1,0.1,0.6,0.7,3,17,7,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17
Tajon Buchanan, CAN,"DF,MF",Club Brugge,23,1999,6,6,520,5.8,0,2,2,0,0,0,2,0,0.4,0.4,0.3,0.6,22,8,35,0.0,0.35,0.35,0.0,0.35,0.06,0.05,0.11,0.06,0.11
