Player,Nationality,Position,Club,Age,Born,90s,Total Passes attempted,Live Ball Passes,Dead Ball Passes,Passes from Free kicks,Through balls,Switches,Crosses,Throw-ins taken,Corner kicks,Inswinging Corner kicks,Outswinging Corner kicks,Straight Corner kicks,Passes completed,Passes offside,Passes blocked
Mathys Tel,FRA,FW,Bayern Munich,17,2005,1.6,46,43,3,0,0,0,4,2,0,0,0,0,35,0,1
Alex Telles,BRA,"DF,FW",Sevilla,29,1992,4.3,242,186,56,9,0,0,27,38,9,1,8,0,181,0,5
Marc-André ter Stegen,GER,GK,Barcelona,30,1992,5,162,125,37,9,0,0,0,0,0,0,0,0,149,0,0
Kévin Théophile-Catherine,FRA,DF,Dinamo Zagreb,32,1989,0.8,43,40,3,0,0,0,0,3,0,0,0,0,32,0,1
Malick Thiaw,GER,DF,Milan,20,2001,3.1,171,166,4,4,0,1,0,0,0,0,0,0,145,1,2
Mohamed Tijani,BEN,DF,Viktoria Plzeň,25,1997,1.9,71,63,8,6,0,2,0,0,0,0,0,0,55,0,0
Malik Tillman,USA,MF,Rangers,20,2002,2.7,57,56,1,0,0,0,1,1,0,0,0,0,40,0,3
Jurriën Timber,NED,DF,Ajax,21,2001,5.9,420,406,13,11,0,1,1,1,0,0,0,0,393,1,0
Fikayo Tomori,ENG,DF,Milan,24,1997,9.2,515,491,23,13,1,3,1,2,0,0,0,0,443,1,4
Sandro Tonali,ITA,MF,Milan,22,2000,11.7,514,435,75,42,4,4,47,5,26,13,10,0,375,4,14
Pablo Torre,ESP,"MF,FW",Barcelona,19,2003,1.1,78,78,0,0,0,0,0,0,0,0,0,0,70,0,0
Ferrán Torres,ESP,"FW,MF",Barcelona,22,2000,2.1,78,75,3,1,0,0,1,1,0,0,0,0,66,0,3
Andriy Totovytskyi,UKR,MF,Shakhtar,29,1993,0.2,6,5,1,0,0,0,1,0,1,0,1,0,5,0,0
Kevin Trapp,GER,GK,Eint Frankfurt,32,1990,8,227,164,62,20,0,1,0,0,0,0,0,0,146,1,0
Francisco Trincão,POR,"MF,FW",Sporting CP,22,1999,4.3,120,112,8,3,0,0,5,1,2,0,2,0,91,0,7
Anatolii Trubin,UKR,GK,Shakhtar,20,2001,6,260,196,63,9,0,1,0,0,0,0,0,0,200,1,0
Kostas Tsimikas,GRE,DF,Liverpool,26,1996,3.8,239,164,75,7,0,0,44,48,20,5,15,0,170,0,8
David Turnbull,SCO,MF,Celtic,23,1999,1.1,83,72,11,0,0,0,6,2,5,1,3,0,67,0,1
Tuta,BRA,DF,Eint Frankfurt,23,1999,6.7,333,318,15,13,0,1,1,2,0,0,0,0,266,0,4
Marián Tvrdoň,SVK,GK,Viktoria Plzeň,27,1994,1,50,26,24,11,0,0,0,0,0,0,0,0,31,0,0
Manuel Ugarte Ribeiro,URU,MF,Sporting CP,21,2001,5.2,238,229,8,6,0,2,1,1,0,0,0,0,201,1,2
Andreas Ulmer,AUT,DF,RB Salzburg,36,1985,4.2,187,139,48,3,0,0,11,42,3,3,0,0,123,0,4
Sven Ulreich,GER,GK,Bayern Munich,33,1988,3,116,90,26,5,0,0,0,0,0,0,0,0,102,0,0
Cengiz Ünder,TUR,MF,Marseille,25,1997,1.9,97,78,18,6,0,4,7,6,6,1,0,1,80,1,1
Dayot Upamecano,FRA,DF,Bayern Munich,23,1998,7.9,605,587,17,14,0,8,0,3,0,0,0,0,550,1,4
Mateus Uribe,COL,MF,Porto,31,1991,6.8,328,306,20,11,0,2,3,9,0,0,0,0,266,2,5
Enrique Valiente,ESP,DF,Sevilla,20,2002,2,153,153,0,0,0,1,1,0,0,0,0,0,124,0,1
Jesús Vallejo,ESP,DF,Real Madrid,25,1997,0.2,17,16,1,0,0,1,0,0,0,0,0,0,16,0,1
Federico Valverde,URU,"MF,FW",Real Madrid,24,1998,10.7,576,569,7,5,3,11,20,2,0,0,0,0,501,0,12
Virgil van Dijk,NED,DF,Liverpool,31,1991,8,505,493,12,11,0,5,0,1,0,0,0,0,439,0,2
Hans Vanaken,BEL,MF,Club Brugge,29,1992,7.8,452,434,17,15,2,15,2,2,0,0,0,0,378,1,9
Denis Vavro,SVK,DF,FC Copenhagen,26,1996,4,159,151,8,6,0,3,1,1,0,0,0,0,133,0,0
Lucas Vázquez,ESP,DF,Real Madrid,31,1991,2.2,159,141,18,1,0,3,9,17,0,0,0,0,145,0,0
Jordan Veretout,FRA,MF,Marseille,29,1993,5.4,411,383,26,15,0,2,15,3,8,2,5,0,362,2,2
Lucas Veríssimo,BRA,DF,Benfica,27,1995,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Gabriel Veron,BRA,"MF,FW",Porto,19,2002,0.5,17,16,1,0,0,0,2,1,0,0,0,0,11,0,2
Marco Verratti,ITA,MF,Paris S-G,29,1992,6.9,690,641,47,44,1,2,1,3,0,0,0,0,639,2,6
Vitinha,POR,MF,Paris S-G,22,2000,6.5,436,432,3,2,0,1,2,0,0,0,0,0,398,1,8
Odisseas Vlachodimos,GRE,GK,Benfica,28,1994,10,264,183,80,16,0,0,0,0,0,0,0,0,196,1,1
Dušan Vlahović,SRB,FW,Juventus,22,2000,4.6,91,75,14,0,0,0,2,0,0,0,0,0,65,2,2
Adam Vlkanova,CZE,MF,Viktoria Plzeň,27,1994,5.1,135,106,29,2,0,1,14,2,6,1,4,0,99,0,2
Stefan de Vrij,NED,DF,Inter,30,1992,3.3,77,73,3,1,0,0,0,0,0,0,0,0,64,1,0
Kyle Walker,ENG,"DF,FW",Manchester City,32,1990,3.1,191,167,24,0,0,0,5,24,0,0,0,0,152,0,4
Paul Wanner,GER,"DF,FW",Bayern Munich,16,2005,0.4,21,18,3,0,0,0,1,3,0,0,0,0,18,0,0
Stephen Welsh,SCO,DF,Celtic,22,2000,1,58,56,2,2,0,0,0,0,0,0,0,0,55,0,0
Wendell,BRA,DF,Porto,29,1993,1.6,106,89,17,3,0,0,8,11,3,3,0,0,88,0,2
Timo Werner,GER,FW,RB Leipzig,26,1996,5.6,230,221,8,1,4,1,3,3,1,0,0,0,178,1,9
Owen Wijndal,NED,DF,Ajax,22,1999,0.8,49,48,1,0,0,0,3,1,0,0,0,0,42,0,0
Josh Wilson-Esbrand,ENG,DF,Manchester City,19,2002,0.5,35,31,4,0,0,0,1,4,0,0,0,0,30,0,0
Axel Witsel,BEL,"DF,MF",Atlético Madrid,33,1989,5.1,344,336,8,7,0,1,0,1,0,0,0,0,322,0,2
Maximilian Wöber,AUT,DF,RB Salzburg,24,1998,1.8,72,46,26,0,0,0,9,26,0,0,0,0,32,0,2
Marius Wolf,GER,DF,Dortmund,27,1995,2,98,80,18,2,0,0,9,16,0,0,0,0,73,0,3
Scott Wright,SCO,"FW,MF",Rangers,24,1997,1.5,37,37,0,0,0,0,2,0,0,0,0,0,25,0,1
Roman Yaremchuk,UKR,FW,Club Brugge,26,1995,1.2,39,36,3,0,0,0,1,0,0,0,0,0,29,0,1
Rıdvan Yılmaz,TUR,DF,Rangers,21,2001,1,50,39,11,1,0,0,4,10,0,0,0,0,39,0,1
Warren Zaire-Emery,FRA,MF,Paris S-G,16,2006,0.9,38,36,2,1,2,0,2,1,0,0,0,0,30,0,1
Denis Zakaria,SUI,MF,Chelsea,25,1996,0.8,44,43,1,1,0,1,0,0,0,0,0,0,42,0,0
Andre-Frank Zambo Anguissa,CMR,MF,Napoli,26,1995,7.2,405,393,9,8,5,0,1,1,0,0,0,0,344,3,8
Alessandro Zanoli,ITA,DF,Napoli,21,2000,0.1,8,8,0,0,0,0,3,0,0,0,0,0,6,0,1
Zeca,GRE,MF,FC Copenhagen,33,1988,1.8,71,68,2,2,0,0,0,0,0,0,0,0,65,1,0
Alessio Zerbin,ITA,FW,Napoli,23,1999,0.6,34,33,0,0,0,0,0,0,0,0,0,0,25,1,1
Piotr Zieliński,POL,MF,Napoli,28,1994,6.9,366,322,44,11,5,0,33,0,27,9,11,0,302,0,7
Hakim Ziyech,MAR,"FW,MF",Chelsea,29,1993,1.6,88,81,6,1,0,1,18,1,4,2,1,0,59,1,3
Oleksandr Zubkov,UKR,"FW,MF",Shakhtar,25,1996,4.1,104,98,6,0,2,0,0,2,0,0,0,0,81,0,2
Neven Đurasek,CRO,MF,Shakhtar,23,1998,1,36,36,0,0,0,0,0,0,0,0,0,0,33,0,0
