Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Issa Kaboré, BFA,DF,Marseille,21,2001,1.3,0,1,0,0.0,0.8,0.0,0.0,,11.5,0,0,0,0.0,0.0,0.03,0.0,0,
Pierre Kalulu, FRA,DF,Milan,22,2000,8.3,0,2,2,100.0,0.24,0.24,0.0,0.0,25.6,0,0,0,0.0,0.0,0.02,0.0,0,
Lukáš Kalvach, CZE,MF,Viktoria Plzeň,27,1995,5.5,0,3,2,66.7,0.55,0.37,0.0,0.0,30.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,
Daichi Kamada, JPN,"MF,FW",Eint Frankfurt,25,1996,7.7,3,12,5,41.7,1.55,0.65,0.17,0.4,17.5,0,1,1,3.0,2.2,0.19,0.0,-0.2,
Glen Kamara, FIN,MF,Rangers,26,1995,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Dijon Kameri, KVX,MF,RB Salzburg,18,2004,1.3,0,4,2,50.0,2.98,1.49,0.0,0.0,23.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,
Kevin Kampl, SVN,MF,RB Leipzig,31,1990,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Harry Kane, ENG,FW,Tottenham,29,1993,8.0,1,20,4,20.0,2.5,0.5,0.0,0.0,17.2,2,1,2,3.6,2.0,0.1,-2.6,-2,
N'Golo Kanté, FRA,MF,Chelsea,31,1991,1.8,0,2,0,0.0,1.1,0.0,0.0,,9.6,0,0,0,0.6,0.6,0.32,-0.6,-0.6,
Mamoudou Karamoko, FRA,FW,FC Copenhagen,22,1999,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Moise Kean, ITA,"FW,MF",Juventus,22,2000,1.2,1,4,2,50.0,3.24,1.62,0.25,0.5,10.7,0,0,0,1.4,1.4,0.36,-0.4,-0.4,
Ryan Kent, ENG,"FW,MF",Rangers,25,1996,5.6,0,7,1,14.3,1.24,0.18,0.0,0.0,23.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,
Franck Kessié, CIV,MF,Barcelona,25,1996,3.0,1,3,2,66.7,0.99,0.66,0.33,0.5,8.8,0,0,0,0.3,0.3,0.09,0.7,0.7,
Davit Khocholava, GEO,DF,FC Copenhagen,29,1993,4.8,0,1,0,0.0,0.21,0.0,0.0,,10.4,0,0,0,0.1,0.1,0.09,-0.1,-0.1,
Joshua Kimmich, GER,MF,Bayern Munich,27,1995,9.0,1,21,9,42.9,2.33,1.0,0.0,0.0,28.3,4,1,1,1.7,0.9,0.04,-0.7,-0.9,
Presnel Kimpembe, FRA,DF,Paris S-G,26,1995,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Leon King, SCO,DF,Rangers,18,2004,4.2,0,1,0,0.0,0.24,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Simon Kjær, DEN,DF,Milan,33,1989,5.6,0,3,0,0.0,0.53,0.0,0.0,,12.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,
Maurits Kjærgaard, DEN,MF,RB Salzburg,19,2003,5.5,0,9,1,11.1,1.64,0.18,0.0,0.0,24.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6,
Davy Klaassen, NED,MF,Ajax,29,1993,2.4,1,1,1,100.0,0.42,0.42,1.0,1.0,11.3,0,0,0,0.1,0.1,0.07,0.9,0.9,
Jan Kliment, CZE,FW,Viktoria Plzeň,28,1993,0.5,1,1,1,100.0,2.0,2.0,1.0,1.0,12.5,0,0,0,0.1,0.1,0.11,0.9,0.9,
Lukas Klostermann, GER,DF,RB Leipzig,26,1996,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Ansgar Knauff, GER,"DF,FW",Eint Frankfurt,20,2002,3.3,0,7,2,28.6,2.15,0.61,0.0,0.0,21.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5,
Gregor Kobel, SUI,GK,Dortmund,24,1997,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Philipp Köhn, SUI,GK,RB Salzburg,24,1998,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Sekou Koita, MLI,FW,RB Salzburg,22,1999,0.2,0,1,0,0.0,4.5,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.04,0.0,0,
Koke, ESP,MF,Atlético Madrid,30,1992,3.7,0,2,1,50.0,0.55,0.27,0.0,0.0,21.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,
Sead Kolašinac, BIH,DF,Marseille,29,1993,1.7,0,1,0,0.0,0.6,0.0,0.0,,4.3,0,0,0,0.3,0.3,0.35,-0.3,-0.3,
Randal Kolo Muani, FRA,FW,Eint Frankfurt,23,1998,5.7,2,12,7,58.3,2.1,1.22,0.17,0.29,14.3,0,0,0,1.4,1.4,0.12,0.6,0.6,
Ibrahima Konaté, FRA,DF,Liverpool,23,1999,2.9,0,1,0,0.0,0.35,0.0,0.0,,12.8,0,0,0,0.0,0.0,0.03,0.0,0,
Geoffrey Kondogbia, CTA,MF,Atlético Madrid,29,1993,2.5,0,7,0,0.0,2.8,0.0,0.0,,26.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,
Yukhym Konoplia, UKR,DF,Shakhtar,22,1999,4.6,0,1,0,0.0,0.22,0.0,0.0,,12.3,0,0,0,0.0,0.0,0.04,0.0,0,
Jan Kopic, CZE,"FW,MF",Viktoria Plzeň,32,1990,0.9,0,2,0,0.0,2.22,0.0,0.0,,17.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,
Odilon Kossonou, CIV,DF,Leverkusen,21,2001,4.8,0,2,0,0.0,0.42,0.0,0.0,,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,
Filip Kostić, SRB,"DF,FW",Juventus,29,1992,4.8,0,6,2,33.3,1.26,0.42,0.0,0.0,16.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,
Kalidou Koulibaly, SEN,DF,Chelsea,31,1991,6.3,0,3,0,0.0,0.48,0.0,0.0,,10.0,0,0,0,0.5,0.5,0.16,-0.5,-0.5,
